,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,agegroup,hoursgroup,nativecountry,income
4770,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
4771,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
4772,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
4773,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
4774,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,20 - 29,30 - 39,United-States,<=50K
4775,Private,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,30 - 39,20 - 29,United-States,<=50K
4776,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
4777,Self-emp-not-inc,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,40 - 49,50 - 59,United-States,>50K
4778,Private,Doctorate,16,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,30 - 39,60 - 69,China,<=50K
4779,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
4780,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,20 - 29,40 - 49,United-States,<=50K
4781,Self-emp-not-inc,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,20 - 29,20 - 29,India,<=50K
4782,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,60 - 69,40 - 49,United-States,<=50K
4784,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,40 - 49,40 - 49,United-States,<=50K
4786,Self-emp-inc,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40 - 49,60 - 69,United-States,>50K
4787,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40 - 49,50 - 59,United-States,<=50K
4788,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,30 - 39,20 - 29,United-States,>50K
4789,Local-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,30 - 39,30 - 39,United-States,<=50K
4790,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
4791,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,20 - 29,20 - 29,United-States,<=50K
4792,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,40 - 49,50 - 59,United-States,<=50K
4793,Self-emp-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,40 - 49,Mexico,>50K
4794,Private,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,30 - 39,40 - 49,United-States,>50K
4795,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,30 - 39,30 - 39,United-States,<=50K
4796,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,60 - 69,40 - 49,United-States,<=50K
4797,Private,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Female,30 - 39,40 - 49,United-States,<=50K
4798,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
4799,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40 - 49,50 - 59,United-States,<=50K
4800,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,50 - 59,40 - 49,United-States,>50K
4801,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,50 - 59,40 - 49,Japan,<=50K
4802,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,20 - 29,40 - 49,United-States,<=50K
4803,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,30 - 39,United-States,<=50K
4804,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
4805,Private,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,40 - 49,30 - 39,United-States,<=50K
4806,Private,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,20 - 29,40 - 49,United-States,<=50K
4807,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
4808,Federal-gov,HS-grad,9,Widowed,Handlers-cleaners,Not-in-family,Black,Male,60 - 69,40 - 49,United-States,<=50K
4809,Self-emp-not-inc,Some-college,10,Divorced,Other-service,Unmarried,White,Male,40 - 49,40 - 49,United-States,<=50K
4810,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,20 - 29,40 - 49,United-States,<=50K
4811,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,Black,Female,30 - 39,40 - 49,United-States,<=50K
4813,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,30 - 39,40 - 49,Mexico,<=50K
4814,Private,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,30 - 39,30 - 39,United-States,<=50K
4816,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,50 - 59,Jamaica,>50K
4817,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
4818,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,30 - 39,60 - 69,United-States,>50K
4819,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,20 - 29,50 - 59,United-States,<=50K
4820,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,30 - 39,Mexico,<=50K
4821,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,10 - 19,20 - 29,United-States,<=50K
4822,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,20 - 29,40 - 49,United-States,<=50K
4823,Federal-gov,HS-grad,9,Widowed,Sales,Unmarried,White,Female,50 - 59,40 - 49,Germany,<=50K
4824,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,40 - 49,30 - 39,United-States,<=50K
4825,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50 - 59,60 - 69,United-States,<=50K
4826,Self-emp-inc,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,30 - 39,60 - 69,United-States,<=50K
4827,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40 - 49,50 - 59,United-States,<=50K
4828,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60 - 69,30 - 39,United-States,>50K
4829,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,20 - 29,30 - 39,United-States,<=50K
4830,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,40 - 49,30 - 39,United-States,<=50K
4832,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50 - 59,50 - 59,United-States,<=50K
4833,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
4834,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,30 - 39,50 - 59,Mexico,<=50K
4835,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
4836,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,20 - 29,50 - 59,United-States,>50K
4838,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,20 - 29,20 - 29,United-States,<=50K
4839,Private,HS-grad,9,Widowed,Transport-moving,Unmarried,White,Male,50 - 59,40 - 49,United-States,<=50K
4840,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,60 - 69,United-States,>50K
4841,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
4842,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Black,Female,30 - 39,40 - 49,United-States,<=50K
4844,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,80 - 89,40 - 49,United-States,<=50K
4845,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,40 - 49,40 - 49,United-States,<=50K
4846,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,50 - 59,40 - 49,United-States,<=50K
4847,Private,11th,7,Divorced,Other-service,Not-in-family,Black,Female,50 - 59,40 - 49,United-States,<=50K
4848,Private,Masters,14,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,20 - 29,90 - 99,United-States,>50K
4849,Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male,20 - 29,30 - 39,United-States,<=50K
4850,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
4852,Private,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,20 - 29,30 - 39,United-States,<=50K
4853,State-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
4854,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,40 - 49,40 - 49,United-States,<=50K
4855,Local-gov,11th,7,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,20 - 29,40 - 49,United-States,<=50K
4857,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,40 - 49,40 - 49,United-States,>50K
4858,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
4859,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
4860,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
4862,Federal-gov,Some-college,10,Never-married,Exec-managerial,Own-child,Black,Female,50 - 59,40 - 49,United-States,<=50K
4863,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60 - 69,30 - 39,United-States,<=50K
4864,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,20 - 29,60 - 69,United-States,<=50K
4865,Local-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,20 - 29,30 - 39,United-States,<=50K
4866,Private,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Male,50 - 59,40 - 49,United-States,<=50K
4867,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
4868,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,30 - 39,60 - 69,United-States,<=50K
4869,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,20 - 29,40 - 49,United-States,<=50K
4870,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,10 - 19,20 - 29,United-States,<=50K
4871,Local-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,40 - 49,40 - 49,United-States,<=50K
4872,Local-gov,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,60 - 69,United-States,<=50K
4873,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,50 - 59,United-States,<=50K
4874,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,10 - 19,40 - 49,Dominican-Republic,<=50K
4875,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40 - 49,80 - 89,United-States,>50K
4876,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,50 - 59,United-States,>50K
4877,Private,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,30 - 39,30 - 39,United-States,<=50K
4878,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,40 - 49,40 - 49,United-States,>50K
4879,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,30 - 39,40 - 49,United-States,<=50K
4880,Self-emp-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,60 - 69,40 - 49,United-States,>50K
4881,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,60 - 69,40 - 49,United-States,<=50K
4882,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
4884,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
4885,Private,Some-college,10,Separated,Adm-clerical,Own-child,White,Male,30 - 39,60 - 69,United-States,<=50K
4886,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,30 - 39,20 - 29,United-States,<=50K
4887,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,20 - 29,10 - 19,United-States,<=50K
4890,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
4891,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
4892,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
4893,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50 - 59,40 - 49,United-States,<=50K
4894,Private,HS-grad,9,Widowed,Adm-clerical,Own-child,White,Female,50 - 59,40 - 49,United-States,<=50K
4896,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
4897,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,60 - 69,United-States,>50K
4898,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,40 - 49,60 - 69,United-States,<=50K
4899,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,50 - 59,40 - 49,England,<=50K
4900,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,70 - 79,30 - 39,United-States,<=50K
4901,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,50 - 59,40 - 49,United-States,<=50K
4902,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
4903,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
4904,Private,11th,7,Separated,Other-service,Not-in-family,Black,Female,30 - 39,40 - 49,United-States,<=50K
4905,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,20 - 29,30 - 39,United-States,<=50K
4906,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,30 - 39,20 - 29,United-States,<=50K
4907,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Other-relative,White,Female,40 - 49,40 - 49,Cuba,<=50K
4908,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,30 - 39,30 - 39,United-States,<=50K
4909,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,40 - 49,40 - 49,United-States,<=50K
4910,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,30 - 39,40 - 49,United-States,>50K
4911,Private,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,50 - 59,20 - 29,United-States,<=50K
4912,State-gov,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,30 - 39,40 - 49,United-States,<=50K
4913,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60 - 69,50 - 59,United-States,>50K
4914,Local-gov,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,30 - 39,10 - 19,United-States,<=50K
4915,Private,Some-college,10,Widowed,Other-service,Not-in-family,White,Female,60 - 69,20 - 29,United-States,<=50K
4916,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,40 - 49,40 - 49,United-States,<=50K
4917,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,30 - 39,40 - 49,United-States,<=50K
4918,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,30 - 39,40 - 49,United-States,<=50K
4919,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,60 - 69,United-States,<=50K
4921,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,50 - 59,40 - 49,United-States,<=50K
4922,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,20 - 29,40 - 49,United-States,<=50K
4923,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,30 - 39,50 - 59,United-States,<=50K
4924,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
4925,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
4926,State-gov,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
4927,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
4928,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
4930,Private,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,70 - 79,30 - 39,United-States,<=50K
4931,Self-emp-inc,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,20 - 29,30 - 39,United-States,<=50K
4932,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,30 - 39,40 - 49,United-States,<=50K
4933,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50 - 59,30 - 39,United-States,<=50K
4934,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,30 - 39,30 - 39,United-States,<=50K
4935,Local-gov,Bachelors,13,Divorced,Protective-serv,Not-in-family,White,Male,40 - 49,40 - 49,United-States,<=50K
4936,Private,Bachelors,13,Never-married,Exec-managerial,Unmarried,Black,Female,40 - 49,40 - 49,United-States,<=50K
4937,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,20 - 29,40 - 49,United-States,<=50K
4938,Private,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Female,20 - 29,80 - 89,United-States,<=50K
4939,Private,HS-grad,9,Never-married,Tech-support,Not-in-family,Black,Female,20 - 29,40 - 49,United-States,<=50K
4940,Private,Some-college,10,Never-married,Other-service,Unmarried,White,Female,20 - 29,40 - 49,United-States,<=50K
4941,Local-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
4942,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40 - 49,30 - 39,United-States,<=50K
4943,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
4944,Federal-gov,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,40 - 49,40 - 49,Philippines,>50K
4946,Private,Some-college,10,Never-married,Farming-fishing,Own-child,Black,Male,20 - 29,10 - 19,United-States,<=50K
4947,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
4948,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,50 - 59,40 - 49,United-States,<=50K
4949,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
4950,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50 - 59,40 - 49,United-States,<=50K
4952,Self-emp-not-inc,1st-4th,2,Widowed,Other-service,Unmarried,White,Female,60 - 69,30 - 39,El-Salvador,<=50K
4953,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,30 - 39,60 - 69,United-States,<=50K
4954,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40 - 49,30 - 39,United-States,<=50K
4955,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
4956,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,20 - 29,50 - 59,United-States,<=50K
4957,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
4958,Local-gov,Some-college,10,Never-married,Other-service,Own-child,Black,Male,40 - 49,40 - 49,United-States,<=50K
4959,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,20 - 29,40 - 49,United-States,<=50K
4960,Federal-gov,Some-college,10,Never-married,Armed-Forces,Not-in-family,Black,Male,20 - 29,60 - 69,United-States,<=50K
4961,Private,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,20 - 29,40 - 49,Japan,<=50K
4962,Self-emp-inc,Some-college,10,Married-civ-spouse,Transport-moving,Wife,White,Female,50 - 59,40 - 49,United-States,>50K
4963,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,50 - 59,United-States,<=50K
4964,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
4965,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
4966,Private,Assoc-voc,11,Never-married,Machine-op-inspct,Not-in-family,White,Male,20 - 29,40 - 49,United-States,<=50K
4967,Private,5th-6th,3,Never-married,Adm-clerical,Own-child,White,Female,20 - 29,40 - 49,Mexico,<=50K
4968,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
4969,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,40 - 49,40 - 49,United-States,>50K
4970,Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,<=50K
4971,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
4973,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,50 - 59,40 - 49,United-States,<=50K
4974,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,30 - 39,50 - 59,Canada,>50K
4975,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,20 - 29,40 - 49,United-States,<=50K
4977,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
4978,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
4979,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,20 - 29,30 - 39,United-States,<=50K
4980,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,20 - 29,50 - 59,United-States,>50K
4981,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,50 - 59,20 - 29,United-States,>50K
4982,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
4985,Private,HS-grad,9,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Female,50 - 59,40 - 49,India,>50K
4986,Private,HS-grad,9,Never-married,Sales,Own-child,Black,Female,20 - 29,20 - 29,United-States,<=50K
4987,Private,11th,7,Never-married,Other-service,Unmarried,Black,Female,20 - 29,40 - 49,United-States,<=50K
4988,Private,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,20 - 29,40 - 49,United-States,<=50K
4989,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,20 - 29,40 - 49,United-States,<=50K
4990,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,20 - 29,30 - 39,United-States,<=50K
4991,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,60 - 69,United-States,<=50K
4992,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
4993,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
4994,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
4995,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
4996,State-gov,Prof-school,15,Never-married,Prof-specialty,Unmarried,White,Male,20 - 29,40 - 49,United-States,<=50K
4997,Private,Masters,14,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,50 - 59,40 - 49,United-States,<=50K
4998,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,40 - 49,40 - 49,United-States,<=50K
4999,State-gov,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,50 - 59,40 - 49,United-States,<=50K
5000,Private,HS-grad,9,Never-married,Sales,Not-in-family,Other,Male,20 - 29,40 - 49,United-States,<=50K
5001,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,30 - 39,40 - 49,United-States,<=50K
5002,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60 - 69,50 - 59,Germany,>50K
5005,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,30 - 39,50 - 59,United-States,>50K
5006,Private,HS-grad,9,Separated,Sales,Own-child,White,Female,40 - 49,40 - 49,United-States,<=50K
5007,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,30 - 39,40 - 49,United-States,<=50K
5008,Private,5th-6th,3,Divorced,Machine-op-inspct,Not-in-family,Black,Male,50 - 59,40 - 49,United-States,<=50K
5009,Private,10th,6,Never-married,Craft-repair,Other-relative,Black,Male,40 - 49,50 - 59,United-States,<=50K
5010,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,30 - 39,30 - 39,United-States,<=50K
5011,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,30 - 39,50 - 59,United-States,<=50K
5012,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,20 - 29,40 - 49,United-States,<=50K
5013,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,30 - 39,40 - 49,United-States,<=50K
5014,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
5015,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,20 - 29,20 - 29,United-States,<=50K
5016,Private,Some-college,10,Divorced,Sales,Unmarried,White,Female,50 - 59,40 - 49,Italy,<=50K
5017,Federal-gov,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,Female,30 - 39,40 - 49,United-States,<=50K
5018,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,40 - 49,40 - 49,United-States,<=50K
5019,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,40 - 49,40 - 49,United-States,<=50K
5020,Federal-gov,Some-college,10,Widowed,Adm-clerical,Not-in-family,Black,Female,50 - 59,40 - 49,United-States,<=50K
5021,Private,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,20 - 29,40 - 49,United-States,<=50K
